0,0.1,1.01,4.03,0.55,-0.43
0,0.1,1.01,4.03,0.55,-0.43
0,0.1,1.01,3.11,0.55,-0.79
0,0.1,1.01,3.11,0.55,-0.79
0,0.1,1.01,2.38,0.31,-1.04
0,0.1,1.01,2.38,0.31,-1.04
0,0.1,1.01,2.01,0.24,-1.04
0,0.1,1.01,2.01,0.24,-1.04
0,0.1,1.01,1.59,0.12,-0.92
0,0.1,1.01,1.59,0.12,-0.92
0,0.1,1.01,1.53,0.18,-0.73
0,0.1,1.01,1.53,0.18,-0.73
0,0.1,1.01,1.28,0,-0.55
0,0.1,1.01,1.22,0,-0.55
0,0.1,1.01,1.22,0,-0.55
0.01,0.1,1.01,1.46,0,-0.43
0.01,0.1,1.01,1.46,0,-0.43
0.01,0.1,1.01,1.83,-0.06,-0.24
0.01,0.1,1.01,1.83,-0.06,-0.24
0.01,0.1,1.01,2.14,-0.12,-0.06
0.01,0.1,1.01,2.14,-0.12,-0.06
0.01,0.1,1.01,2.69,-0.12,0.06
0.02,0.09,1,2.99,0,0.24
0.02,0.09,1,2.99,0,0.24
0.02,0.09,1,3.6,-0.06,0.18
0.02,0.09,1,3.6,-0.06,0.18
0.02,0.09,1,4.03,0.18,0.24
0.02,0.09,1,4.03,0.18,0.24
0.02,0.09,1,4.39,0.24,0.18
0.02,0.09,1,4.39,0.24,0.18
0.02,0.09,1,5,0.12,0.18
0.02,0.09,1,5,0.12,0.18
0.02,0.09,1,5.49,0.18,0.06
0.02,0.09,1,5.49,0.18,0.06
0.02,0.09,1,5.74,0.06,0
0.02,0.09,1,5.74,0.06,0
0.02,0.09,1,6.04,0.24,-0.18
0.02,0.09,1,6.04,0.24,-0.18
0.02,0.09,1.01,6.47,0.12,0.06
0.02,0.09,1.01,7.02,0.18,0.31
0.02,0.09,1.01,7.02,0.18,0.31
0.02,0.09,1.01,7.08,0.18,0.61
0.02,0.09,1.01,7.08,0.18,0.61
0.02,0.09,1.01,6.96,0.18,1.04
0.02,0.09,1.01,6.96,0.18,1.04
0.02,0.11,1.01,6.71,0.31,1.53
0.02,0.11,1.01,6.71,0.31,1.53
0.02,0.11,1.01,5.86,0.31,1.71
0.02,0.11,1.01,5.86,0.31,1.71
0.02,0.11,1.01,4.76,0.31,1.71
0.02,0.11,1.01,4.76,0.31,1.71
0.02,0.11,1.01,3.17,0.37,1.77
0.02,0.11,1.01,3.17,0.37,1.77
0.03,0.13,1.01,0.98,0.37,1.83
0.03,0.13,1.01,0.98,0.37,1.83
0.03,0.13,1.01,-1.53,0.55,1.83
0.03,0.13,1.01,-1.53,0.55,1.83
0.03,0.13,1.01,-4.52,0.55,2.01
0.03,0.13,1.01,-7.81,0.61,2.01
0.03,0.13,1.01,-7.81,0.61,2.01
0.03,0.14,1.01,-11.29,0.67,1.71
0.03,0.14,1.01,-11.29,0.67,1.71
0.03,0.14,1.01,-15.08,0.49,1.22
0.03,0.14,1.01,-15.08,0.49,1.22
0.03,0.14,1.01,-19.47,0.49,0.55
0.03,0.14,1.01,-19.47,0.49,0.55
0.03,0.14,1.01,-23.93,0.43,-0.18
0.02,0.13,1.02,-28.56,0.61,-0.73
0.02,0.13,1.02,-28.56,0.61,-0.73
0.02,0.13,1.02,-32.84,0.92,-1.1
0.02,0.13,1.02,-32.84,0.92,-1.1
0.02,0.13,1.02,-37.35,1.04,-1.22
0.02,0.13,1.02,-37.35,1.04,-1.22
0.02,0.13,1.02,-41.69,1.22,-0.55
0.04,0.15,1.01,-46.08,1.16,0.31
0.04,0.15,1.01,-46.08,1.16,0.31
0.04,0.15,1.01,-50.05,1.22,1.1
0.04,0.15,1.01,-50.05,1.22,1.1
0.04,0.15,1.01,-54.26,1.1,1.16
0.04,0.15,1.01,-54.26,1.1,1.16
0.04,0.15,1.01,-58.72,1.04,0.73
0.02,0.13,1.02,-62.81,1.1,0.06
0.02,0.13,1.02,-62.81,1.1,0.06
0.02,0.13,1.02,-66.41,1.34,-0.67
0.02,0.13,1.02,-66.41,1.34,-0.67
0.02,0.13,1.02,-69.64,1.46,-1.71
